"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh ENOX2 SPHKAP",-0.0411166082140407,5.88365824895315,0.365816268035127,0.54590570526133,0.860026467075723,0.860026467075723,"gpath_trio"
"2","NOC2L","Inh ENOX2 SPHKAP",0.139391225751075,5.28721504662208,3.19049404662072,0.0893847240050725,0.47845843812739,0.47845843812739,"gpath_trio"
"3","HES4","Inh ENOX2 SPHKAP",-0.0792514138798156,5.30765653571052,0.772826860148333,0.380285833068142,0.772256717797088,0.772256717797088,"gpath_trio"
"4","C1orf159","Inh ENOX2 SPHKAP",-0.131705877787366,5.83037323669859,4.18056082484496,0.0435020702185155,0.361601640249378,0.361601640249378,"gpath_trio"
"5","SDF4","Inh ENOX2 SPHKAP",-0.0122659374266936,5.79654232667397,0.0310924209580958,0.860193638356816,0.974306225896617,0.974306225896617,"gpath_trio"
"6","UBE2J2","Inh ENOX2 SPHKAP",0.0818612858133655,5.45070712609725,1.20860622342328,0.30097748511225,0.722438146347917,0.722438146347917,"gpath_trio"
"7","ACAP3","Inh ENOX2 SPHKAP",0.108759984119354,6.49496637354459,5.11606747337891,0.0253203564092651,0.296194017054495,0.296194017054495,"gpath_trio"
"8","INTS11","Inh ENOX2 SPHKAP",0.0414050269410208,5.76883576559953,0.461541384785985,0.554356245254551,0.864580772510748,0.864580772510748,"gpath_trio"
"9","AURKAIP1","Inh ENOX2 SPHKAP",0.0051187977087885,4.70372280422745,0.00146509322200633,0.997024781429323,1,1,"gpath_trio"
"10","CCNL2","Inh ENOX2 SPHKAP",0.020805830587662,6.21992915784264,0.16957631516527,0.69076246378421,0.921530995249608,0.921530995249608,"gpath_trio"
"11","SSU72","Inh ENOX2 SPHKAP",0.0285622317888315,5.67882629146441,0.203001571731943,0.665184865650397,0.911779756826863,0.911779756826863,"gpath_trio"
"12","MIB2","Inh ENOX2 SPHKAP",0.139597891020295,5.38524107178586,3.3662665170141,0.0831464016656803,0.467470499747544,0.467470499747544,"gpath_trio"
"13","CDK11B","Inh ENOX2 SPHKAP",0.0255603878096113,5.28303410807775,0.100247525810788,0.751827603282331,0.939544904145042,0.939544904145042,"gpath_trio"
"14","SLC35E2B","Inh ENOX2 SPHKAP",-0.0755852608043169,5.28677337957498,0.761064682335595,0.383929498659555,0.77574091935621,0.77574091935621,"gpath_trio"
"15","CDK11A","Inh ENOX2 SPHKAP",0.151943517324504,4.91537091650825,2.05689744304442,0.152912635426053,0.573479249872206,0.573479249872206,"gpath_trio"
"16","SLC35E2A","Inh ENOX2 SPHKAP",-0.0276365040718788,5.34184551682364,0.111104659620635,0.739201710462856,0.936961689367103,0.936961689367103,"gpath_trio"
"17","GNB1","Inh ENOX2 SPHKAP",0.05272041585986,7.42511053741569,2.75418394976701,0.128724906404325,0.539536668858899,0.539536668858899,"gpath_trio"
"18","PRKCZ","Inh ENOX2 SPHKAP",-0.0496707771507848,6.98935851488057,1.57485107243844,0.343599025270435,0.752332133288149,0.752332133288149,"gpath_trio"
"19","FAAP20","Inh ENOX2 SPHKAP",-0.0214354369587322,5.10995092797457,0.0556116074690586,0.813786895007798,0.962069234451862,0.962069234451862,"gpath_trio"
"20","SKI","Inh ENOX2 SPHKAP",0.0326028873866201,6.57088175416594,0.476956639701595,0.490518929488473,0.837738956254959,0.837738956254959,"gpath_trio"
"21","RER1","Inh ENOX2 SPHKAP",0.180600304553821,5.18758573792458,4.80082403457133,0.0294769304101625,0.311625942942131,0.311625942942131,"gpath_trio"
"22","CEP104","Inh ENOX2 SPHKAP",-0.036190636214159,5.91722528140554,0.305797548180387,0.580821837119235,0.875431325260961,0.875431325260961,"gpath_trio"
"23","DFFB","Inh ENOX2 SPHKAP",-0.0320722138422855,5.21978963641767,0.147473395553659,0.718872406851729,0.931815812081505,0.931815812081505,"gpath_trio"
"24","AJAP1","Inh ENOX2 SPHKAP",0.1619729233458,4.93696287254157,1.92276924026085,0.166929870759303,0.588068506764472,0.588068506764472,"gpath_trio"
"25","NPHP4","Inh ENOX2 SPHKAP",-0.0619272735607017,5.63567011400674,0.796068478243017,0.407805246374761,0.790823797135441,0.790823797135441,"gpath_trio"
"26","KCNAB2","Inh ENOX2 SPHKAP",-0.145200585224134,6.33520244032802,7.97526811397632,0.00544312047727155,0.154562988834456,0.154562988834456,"gpath_trio"
"27","CHD5","Inh ENOX2 SPHKAP",0.0375746088759022,7.74282331210758,1.18150298681492,0.278218243001506,0.702138232082218,0.702138232082218,"gpath_trio"
"28","RPL22","Inh ENOX2 SPHKAP",-0.0479485849280318,5.79329929509826,0.561520229724606,0.522409376979581,0.851312115793851,0.851312115793851,"gpath_trio"
"29","ACOT7","Inh ENOX2 SPHKAP",-0.0129161349824869,6.43847067164585,0.0719403920458524,0.804443092264525,0.959203720254748,0.959203720254748,"gpath_trio"
"30","NOL9","Inh ENOX2 SPHKAP",0.00317424557387226,5.63837170173194,0.00217381057231227,0.96285432266622,1,1,"gpath_trio"
"31","DNAJC11","Inh ENOX2 SPHKAP",-0.0920705884666194,6.36347589219174,2.8797447151662,0.0910889509890041,0.485065046921301,0.485065046921301,"gpath_trio"
"32","CAMTA1","Inh ENOX2 SPHKAP",-0.0030211578206157,9.57927044973102,0.0196958516658513,0.888515941838677,0.984259118273806,0.984259118273806,"gpath_trio"
"33","PER3","Inh ENOX2 SPHKAP",-0.0409020794960323,7.06446003152325,0.70517510290793,0.401945407016751,0.787586053646986,0.787586053646986,"gpath_trio"
